dataset,program,size,gamma,c,performance
CampRadiation,class,1290,0.01,10.0,0.5146914311496519
CampRadiation,class,1290,0.1,10.0,0.18794916461008448
CampRadiation,class,1290,3.268507926131721e-05,100.0,0.7894034528820099
CampRadiation,class,1290,1e-07,100.0,0.638786713789534
CampRadiation,class,1290,1e-06,100.0,0.6998613759944793
CampRadiation,class,1290,1e-05,100.0,0.7759422597554444
CampRadiation,class,1290,0.0001,100.0,0.7732039540345579
CampRadiation,class,1290,0.001,100.0,0.7647498620740353
CampRadiation,class,1290,0.01,100.0,0.5146914311496519
CampRadiation,class,1290,0.1,100.0,0.18794916461008448
CampRadiation,class,1290,3.268507926131721e-05,1000.0,0.764958991503924
CampRadiation,class,1290,1e-07,1000.0,0.7005170425100349
CampRadiation,class,1290,1e-06,1000.0,0.7759422597554444
CampRadiation,class,1290,1e-05,1000.0,0.7740350566860582
CampRadiation,class,1290,0.0001,1000.0,0.7572262449124442
CampRadiation,class,1290,0.001,1000.0,0.7652120465041671
CampRadiation,class,1290,0.01,1000.0,0.5146914311496519
CampRadiation,class,1290,0.1,1000.0,0.18794916461008448
CampTransform,class,2651,1.9659111014999903e-05,0.001,0.7352687603049678
CampTransform,class,2651,1e-07,0.001,0.7211446310070041
CampTransform,class,2651,1e-06,0.001,0.7209804773693954
CampTransform,class,2651,1e-05,0.001,0.7212391290757755
CampTransform,class,2651,0.0001,0.001,0.7738541217226932
CampTransform,class,2651,0.001,0.001,0.7626549656071423
CampTransform,class,2651,0.01,0.001,0.42028194557936155
CampTransform,class,2651,0.1,0.001,0.11563083272373442
CampTransform,class,2651,1.9659111014999903e-05,0.01,0.7758881599171521
CampTransform,class,2651,1e-07,0.01,0.7211446310070041
CampTransform,class,2651,1e-06,0.01,0.7208585425321286
CampTransform,class,2651,1e-05,0.01,0.7755506322146253
CampTransform,class,2651,0.0001,0.01,0.7753729664849734
CampTransform,class,2651,0.001,0.01,0.7628810928440899
CampTransform,class,2651,0.01,0.01,0.433918119376256
CampTransform,class,2651,0.1,0.01,0.11825592966203231
CampTransform,class,2651,1.9659111014999903e-05,0.1,0.7759092274567451
CampTransform,class,2651,1e-07,0.1,0.7208585425321286
CampTransform,class,2651,1e-06,0.1,0.7757831007176602
CampTransform,class,2651,1e-05,0.1,0.7754064353300372
CampTransform,class,2651,0.0001,0.1,0.7747877792152875
CampTransform,class,2651,0.001,0.1,0.8229734184164618
CampTransform,class,2651,0.01,0.1,0.5568179836642483
CampTransform,class,2651,0.1,0.1,0.12039838258594653
CampTransform,class,2651,1.9659111014999903e-05,1.0,0.7808079635172025
CampTransform,class,2651,1e-07,1.0,0.7765770362115972
CampTransform,class,2651,1e-06,1.0,0.7760597428881325
CampTransform,class,2651,1e-05,1.0,0.7756509166309357
CampTransform,class,2651,0.0001,1.0,0.8290411922820192
CampTransform,class,2651,0.001,1.0,0.8770503809576244
CampTransform,class,2651,0.01,1.0,0.6543048459586914
CampTransform,class,2651,0.1,1.0,0.11895590236412516
CampTransform,class,2651,1.9659111014999903e-05,10.0,0.8440790648422426
CampTransform,class,2651,1e-07,10.0,0.775551702976782
CampTransform,class,2651,1e-06,10.0,0.7755706420664937
CampTransform,class,2651,1e-05,10.0,0.8251992540054552
CampTransform,class,2651,0.0001,10.0,0.8731611559501928
CampTransform,class,2651,0.001,10.0,0.8859582181953317
CampTransform,class,2651,0.01,10.0,0.6441720841378118
CampTransform,class,2651,0.1,10.0,0.11325159452639211
CampTransform,class,2651,1.9659111014999903e-05,100.0,0.8762166424493475
CampTransform,class,2651,1e-07,100.0,0.7755706420664937
CampTransform,class,2651,1e-06,100.0,0.824980255458708
CampTransform,class,2651,1e-05,100.0,0.871936788361826
CampTransform,class,2651,0.0001,100.0,0.8678000459103388
CampTransform,class,2651,0.001,100.0,0.8822037794585119
CampTransform,class,2651,0.01,100.0,0.6441720841378118
CampTransform,class,2651,0.1,100.0,0.11325159452639211
CampTransform,class,2651,1.9659111014999903e-05,1000.0,0.8529954511155782
CampTransform,class,2651,1e-07,1000.0,0.8252746520781635
CampTransform,class,2651,1e-06,1000.0,0.871609652056177
CampTransform,class,2651,1e-05,1000.0,0.8618418379956329
CampTransform,class,2651,0.0001,1000.0,0.8560434441319397
CampTransform,class,2651,0.001,1000.0,0.8822037794585119
CampTransform,class,2651,0.01,1000.0,0.6441720841378118
CampTransform,class,2651,0.1,1000.0,0.11325159452639211
CancerMitosis,class,494,3.402517863218782e-05,0.001,0.6792126272905412
CancerMitosis,class,494,1e-07,0.001,0.678202066229426
CancerMitosis,class,494,1e-06,0.001,0.678202066229426
CancerMitosis,class,494,1e-05,0.001,0.6787353388231822
CancerMitosis,class,494,0.0001,0.001,0.681791293877208
CancerMitosis,class,494,0.001,0.001,0.668431216306763
CancerMitosis,class,494,0.01,0.001,0.510598733111108
CancerMitosis,class,494,0.1,0.001,0.13758822084321604
CancerMitosis,class,494,3.402517863218782e-05,0.01,0.687752379611749
CancerMitosis,class,494,1e-07,0.01,0.678202066229426
CancerMitosis,class,494,1e-06,0.01,0.678202066229426
CancerMitosis,class,494,1e-05,0.01,0.6847603660445516
CancerMitosis,class,494,0.0001,0.01,0.6856929908734437
CancerMitosis,class,494,0.001,0.01,0.6680370490476294
CancerMitosis,class,494,0.01,0.01,0.5151114949664576
CancerMitosis,class,494,0.1,0.01,0.13758822084321604
CancerMitosis,class,494,3.402517863218782e-05,0.1,0.6847131397920534
CancerMitosis,class,494,1e-07,0.1,0.678202066229426
CancerMitosis,class,494,1e-06,0.1,0.6885936388769787
CancerMitosis,class,494,1e-05,0.1,0.6873894192005032
CancerMitosis,class,494,0.0001,0.1,0.6836882428657927
CancerMitosis,class,494,0.001,0.1,0.6673915712443645
CancerMitosis,class,494,0.01,0.1,0.5165864759034553
CancerMitosis,class,494,0.1,0.1,0.13758822084321604
CancerMitosis,class,494,3.402517863218782e-05,1.0,0.6858649020923497
CancerMitosis,class,494,1e-07,1.0,0.6885936388769787
CancerMitosis,class,494,1e-06,1.0,0.6861733718147167
CancerMitosis,class,494,1e-05,1.0,0.6861733718147167
CancerMitosis,class,494,0.0001,1.0,0.6876502619849788
CancerMitosis,class,494,0.001,1.0,0.7244409795338722
CancerMitosis,class,494,0.01,1.0,0.559262530208221
CancerMitosis,class,494,0.1,1.0,0.14574544041401846
CancerMitosis,class,494,3.402517863218782e-05,10.0,0.7179203713583557
CancerMitosis,class,494,1e-07,10.0,0.6861733718147167
CancerMitosis,class,494,1e-06,10.0,0.6861733718147167
CancerMitosis,class,494,1e-05,10.0,0.693230310995728
CancerMitosis,class,494,0.0001,10.0,0.7183964596604212
CancerMitosis,class,494,0.001,10.0,0.7071761530754648
CancerMitosis,class,494,0.01,10.0,0.5569525760721163
CancerMitosis,class,494,0.1,10.0,0.07374631405077965
CancerMitosis,class,494,3.402517863218782e-05,100.0,0.7070501359100493
CancerMitosis,class,494,1e-07,100.0,0.6861733718147167
CancerMitosis,class,494,1e-06,100.0,0.6936859052949313
CancerMitosis,class,494,1e-05,100.0,0.7195308538936843
CancerMitosis,class,494,0.0001,100.0,0.7063206475154074
CancerMitosis,class,494,0.001,100.0,0.6998405483950711
CancerMitosis,class,494,0.01,100.0,0.5569525760721163
CancerMitosis,class,494,0.1,100.0,0.07374631405077965
CancerMitosis,class,494,3.402517863218782e-05,1000.0,0.7041144530607175
CancerMitosis,class,494,1e-07,1000.0,0.6936859052949313
CancerMitosis,class,494,1e-06,1000.0,0.7195308538936843
CancerMitosis,class,494,1e-05,1000.0,0.7037783478241698
CancerMitosis,class,494,0.0001,1000.0,0.7067584039428764
CancerMitosis,class,494,0.001,1000.0,0.6998405483950711
CancerMitosis,class,494,0.01,1000.0,0.5569525760721163
CancerMitosis,class,494,0.1,1000.0,0.07374631405077965
ChemReactCritique,class,1242,2.2274195344693174e-05,0.001,0.5604764231659405
ChemReactCritique,class,1242,1e-07,0.001,0.5587136775675139
ChemReactCritique,class,1242,1e-06,0.001,0.5587136775675139
ChemReactCritique,class,1242,1e-05,0.001,0.5587136775675139
